BehaviorSpace results (NetLogo 6.1.1),,,,,,,,
Citizen_Model_Experiments.nlogo,,,,,,,,
experiment,,,,,,,,
11/12/2020 00:03:12:068 +0100,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,814,0,784,,,,,
[run number],1,2,3,4,,,,
number-supported-initiatives,0,0,0,0,,,,
number-waste-collectors,0,0,0,0,,,,
debug?,FALSE,FALSE,FALSE,FALSE,,,,
number-cw,0,0,0,0,,,,
interaction-chance,0,0,0,0,,,,
verbose?,FALSE,FALSE,FALSE,FALSE,,,,
number-police-officers,0,0,0,0,,,,
resolution,45,45,45,45,,,,
random-seed,1,2,3,4,,,,
[reporter],mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,,,,
[final],3.999523657,4.412778669,3.284345239,4.05507789,,,,
[min],3.999523657,4.412778669,3.284345239,4.05507789,,,,
[max],39.82878106,40.49471717,38.99980863,38.90826833,,,,
[mean],17.84005512,18.43357733,17.04450883,16.88708843,,,,
[steps],36167,36167,36167,36167,,,3.096489726,years
,,,,,,,,
[all run data],mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,,,,
,39.73142796,40.44360527,38.90223053,38.8102638,,,,
,39.73121154,40.44318955,38.90199696,38.8100838,,,,
,39.73102511,40.44287669,38.90176553,38.80986094,,,,
,39.73083868,40.44267312,38.90150839,38.8096488,,,,
,39.73074654,40.44250384,38.90143982,38.80947523,,,,
,39.73060511,40.44234527,38.90127696,38.80926309,,,,
,39.73047868,40.44216955,38.90111196,38.80901666,,,,
,39.73037796,40.44208812,38.90101768,38.80870594,,,,
,39.73031154,40.44198741,38.90095125,38.80852809,,,,
,39.73028154,40.44196812,38.90092339,38.80844452,,,,
,39.73027939,40.44195098,38.90091053,38.8084188,,,,
,39.73027511,40.44192955,38.90090625,38.80841023,,,,
,39.73027082,40.44192527,38.90090196,38.80840166,,,,
,39.73026654,40.44192098,38.90089768,38.80839309,,,,
,39.73026225,40.44191669,38.90089339,38.80838452,,,,
,39.73025796,40.44191241,38.9008891,38.80837594,,,,
,39.73025368,40.44190812,38.90088482,38.80836737,,,,
,39.63500701,40.3942805,38.80564244,38.71312071,,,,
,39.63499844,40.39427193,38.80563815,38.71311213,,,,
,39.63498987,40.39426336,38.80563387,38.71310356,,,,
,39.6349813,40.39425479,38.80562958,38.71309499,,,,
,39.63497273,40.39424622,38.80562529,38.71308642,,,,
,39.63496415,40.39423765,38.80562101,38.71307785,,,,
,39.63495558,40.39422907,38.80561672,38.71306928,,,,
,39.63494701,40.3942205,38.80561244,38.71306071,,,,
,39.63493844,40.39421193,38.80560815,38.71305213,,,,
,39.63493415,40.39420336,38.80560387,38.71304356,,,,
,39.63492987,40.39419479,38.80558244,38.71303499,,,,
,39.63492558,40.39418622,38.80556101,38.71300928,,,,
,39.6349213,40.39415622,38.80553958,38.71299856,,,,
,39.6349063,40.39408122,38.80547529,38.71294071,,,,
,39.63480344,40.39390979,38.80537244,38.71284213,,,,
,39.63467273,40.39371265,38.80527172,38.71267499,,,,
,39.63443701,40.39329265,38.80514315,38.71251213,,,,
,39.63422487,40.39282979,38.80487315,38.71232356,,,,
,39.63401915,40.3925855,38.80460101,38.71197856,,,,
,39.63382201,40.3924355,38.80442744,38.71168713,,,,
,39.63365915,40.39232836,38.80428815,38.71149213,,,,
,39.63350487,40.39218479,38.80408672,38.71134856,,,,
,39.63338915,40.39200907,38.80388101,38.71110428,,,,
