"BehaviorSpace results (NetLogo 6.1.1)"
"Citizen_Model_Experiments.nlogo"
"experiment_5_increase_social_support"
"11/14/2020 09:57:52:985 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","814","0","784"
"[run number]","number-supported-initiatives","number-waste-collectors","debug?","number-cw","interaction-chance","resolution","verbose?","number-police-officers","random-seed","[step]","mean [pls] of citizens","standard-deviation [pls] of citizens"
"4","24","4","true","3","20","45","false","2","4","38","38.929884992050845","9.733193773519242"
"3","24","4","true","3","20","45","false","2","3","38","39.083579341800416","9.82237830729095"
"2","24","4","true","3","20","45","false","2","2","33","40.5652085985618","10.123372078188495"
"1","24","4","true","3","20","45","false","2","1","39","39.82135296452025","9.694471877528349"
"4","24","4","true","3","20","45","false","2","4","39","38.93271356347942","9.733168402949111"
"3","24","4","true","3","20","45","false","2","3","39","39.08636934180041","9.82240307937477"
"2","24","4","true","3","20","45","false","2","2","34","40.56807145570469","10.123363944962712"
"1","24","4","true","3","20","45","false","2","1","40","39.824155821663105","9.694496819005904"
"4","24","4","true","3","20","45","false","2","4","40","38.935537849193686","9.733154998255738"
"3","24","4","true","3","20","45","false","2","3","40","39.089146484657554","9.822404404383118"
"2","24","4","true","3","20","45","false","2","2","35","40.57090859856183","10.12336536581777"
"4","24","4","true","3","20","45","false","2","4","41","38.93832356347941","9.733110455411126"
"1","24","4","true","3","20","45","false","2","1","41","39.82693725023458","9.694507786306854"
"3","24","4","true","3","20","45","false","2","3","41","39.091837913228964","9.822379756020064"
"2","24","4","true","3","20","45","false","2","2","36","40.573754312847555","10.123374064871898"
"1","24","4","true","3","20","45","false","2","1","42","39.829491535948854","9.694534670793807"
"4","24","4","true","3","20","45","false","2","4","42","38.94094213490799","9.733050029989315"
"3","24","4","true","3","20","45","false","2","3","42","39.09440934180041","9.822348527579114"
"4","24","4","true","3","20","45","false","2","4","43","38.94220856347941","9.733040348357736"
"2","24","4","true","3","20","45","false","2","2","37","40.57661288427612","10.12339311832979"
"1","24","4","true","3","20","45","false","2","1","43","39.83176296452027","9.694622471503022"
"4","24","4","true","3","20","45","false","2","4","44","38.94327356347943","9.733055359536047"
"3","24","4","true","3","20","45","false","2","3","43","39.09666791322898","9.82218646857522"
"2","24","4","true","3","20","45","false","2","2","38","40.57947574141898","10.123373092784197"
"1","24","4","true","3","20","45","false","2","1","44","39.83284296452031","9.69465085595108"
"2","24","4","true","3","20","45","false","2","2","39","40.58232574141897","10.123415602482284"
"4","24","4","true","3","20","45","false","2","4","45","38.94412642062228","9.733023260758682"
"3","24","4","true","3","20","45","false","2","3","44","39.09858362751469","9.822113472386738"
"2","24","4","true","3","20","45","false","2","2","40","40.58512431284754","10.123453805190321"
"1","24","4","true","3","20","45","false","2","1","45","39.83375153594887","9.694633675656624"
"3","24","4","true","3","20","45","false","2","3","45","39.100255056086134","9.821937453779803"
"4","24","4","true","3","20","45","false","2","4","46","38.944747849193696","9.733065398098487"
"2","24","4","true","3","20","45","false","2","2","41","40.58786288427611","10.123505984928437"
"3","24","4","true","3","20","45","false","2","3","46","39.10153219894326","9.82179285548181"
"2","24","4","true","3","20","45","false","2","2","42","40.5904728842761","10.123535376968578"
"1","24","4","true","3","20","45","false","2","1","46","39.83448225023455","9.694653895009106"
"4","24","4","true","3","20","45","false","2","4","47","38.94517213490802","9.733093349000614"
"2","24","4","true","3","20","45","false","2","2","43","40.592877169990416","10.123570035608724"
"3","24","4","true","3","20","45","false","2","3","47","39.10253077037186","9.821732981436808"
"1","24","4","true","3","20","45","false","2","1","47","39.83459153594886","9.694629515900328"
"2","24","4","true","3","20","45","false","2","2","44","40.59486574141901","10.123679394350944"
"4","24","4","true","3","20","45","false","2","4","48","38.945418563479414","9.733138993957967"
