"BehaviorSpace results (NetLogo 6.1.1)"
"Citizen_Model_Experiments.nlogo"
"experiment_3_increase_social_capacity"
"11/13/2020 07:57:45:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","814","0","784"
"[run number]","1","2","3","4"
"number-supported-initiatives","10","10","10","10"
"number-waste-collectors","4","4","4","4"
"debug?","true","true","true","true"
"number-cw","8","8","8","8"
"interaction-chance","20","20","20","20"
"verbose?","false","false","false","false"
"number-police-officers","2","2","2","2"
"resolution","45","45","45","45"
"random-seed","1","2","3","4"
"[reporter]","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens"
"[final]","91.68541297990812","89.28823419131169","92.48399007628912","86.70656681112429"
"[min]","39.733542964520154","40.44709812237124","38.904570532276495","39.003506420622166"
"[max]","91.68541297990812","89.28823419131169","92.48399007628912","86.70656681112429"
"[mean]","60.44985201133099","58.70784196843508","60.452810742033385","56.26986178233253"
"[steps]","36167","36167","36167","36167"

"[all run data]","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens"
,"39.81416796452023","40.527975979514174","38.93985648465754","39.097442849193705"
,"39.81647796452025","40.53036312237136","38.9422693418004","39.099686420622284"
,"39.818479393091685","40.53239455094279","38.94337077037182","39.10152499205084"
,"39.82007796452026","40.53403597951419","38.94425362751466","39.103078563479436"
,"39.82140867880599","40.535400979514186","38.94551791322897","39.10438142062229"
,"39.82238796452027","40.53638240808563","38.946154341800394","39.10539927776516"
,"39.823086535948825","40.53701455094276","38.94667077037185","39.106106420622304"
,"39.823615821663104","40.537393836657046","38.9471400560861","39.10666784919373"
,"39.82411725023454","40.537764550942775","38.94744219894327","39.107107134908034"
,"39.824717250234556","40.538360265228505","38.947737913229","39.10773070633658"
,"39.8256043930917","40.53926883665704","38.94807862751467","39.108427134908005"
,"39.82664796452027","40.54050097951422","38.94858005608612","39.10939999205086"
,"39.82791225023452","40.54182312237137","38.9491843418004","39.11074356347943"
,"39.8295643930917","40.54358026522846","38.94996862751469","39.1123957063366"
,"39.83159153594885","40.5455752652285","38.950849341800385","39.11428356347946"
,"39.83388867880597","40.54774383665708","38.952006484657545","39.11659784919373"
,"39.83644296452028","40.55019097951421","38.95451791322898","39.119162849193735"
,"39.839153678806014","40.55281383665708","38.95720505608614","39.12191427776518"
,"39.84189867880599","40.555535265228514","38.95997577037182","39.12473856347947"
,"39.844727250234584","40.558320979514235","38.96281291322896","39.127575706336614"
,"39.84752582166315","40.56112812237136","38.96565005608613","39.130421420622326"
,"39.850384393091744","40.56398669379997","38.968482913228996","39.133224277765166"
,"39.853238678806015","40.566845265228515","38.971302913228996","39.13606570633663"
,"39.856058678806036","40.569695265228496","38.974135770371845","39.138889992050885"
,"39.85887010737745","40.57254955094282","38.977028627514706","39.14176570633663"
,"39.86171582166317","40.57541669379999","38.97984862751471","39.14464142062233"
,"39.864548678806","40.57826669379998","38.98273291322899","39.147457134908066"
,"39.86736439309175","40.58112955094282","38.98557005608615","39.15026856347949"
,"39.87018439309175","40.583979550942836","38.98838577037187","39.153092849193776"
,"39.87302153594889","40.58682526522855","38.99121862751471","39.15592142062234"
,"39.875811535948905","40.5896624080857","38.99403434180043","39.15874570633664"
,"39.87858867880605","40.592443836657104","38.99685434180045","39.16149713490806"
,"39.88131439309175","40.59515669379998","38.99959719894329","39.164209992050914"
,"39.88383010737746","40.59769383665712","39.00213862751471","39.16674284919379"
,"39.88604153594889","40.600033836657126","39.00444862751472","39.169027134908056"
,"39.887965821663194","40.60209097951428","39.006398627514734","39.17095570633664"
,"39.88965010737746","40.603848122371424","39.00799291322901","39.17253713490808"
